127.0.0.1 - - [08/Jan/2023:17:23:55 +0800] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:49:56 +0800] "GET /Vortex/assets/vendors/fastclick/lib/fastclick.js HTTP/1.1" 200 26806
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:49:56 +0800] "GET /Vortex/assets/vendors/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 200 36874
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:49:56 +0800] "GET /Vortex/assets/vendors/bootstrap-progressbar/bootstrap-progressbar.min.js HTTP/1.1" 200 2334
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:49:56 +0800] "GET /Vortex/assets/vendors/nprogress/nprogress.js HTTP/1.1" 200 12041
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:49:56 +0800] "GET /Vortex/assets/vendors/gauge.js/dist/gauge.min.js HTTP/1.1" 200 17908
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:49:56 +0800] "GET /Vortex/assets/vendors/Flot/jquery.flot.js HTTP/1.1" 200 126139
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:49:56 +0800] "GET /Vortex/assets/vendors/iCheck/icheck.min.js HTTP/1.1" 200 4942
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:49:56 +0800] "GET /Vortex/assets/build/images/user.jpg HTTP/1.1" 200 13675
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:49:56 +0800] "GET /Vortex/assets/vendors/fontawesome/webfonts/fa-brands-400.woff2 HTTP/1.1" 200 107656
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:49:56 +0800] "GET /Vortex/assets/vendors/Flot/jquery.flot.pie.js HTTP/1.1" 200 24629
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:49:56 +0800] "GET /Vortex/assets/vendors/skycons/skycons.js HTTP/1.1" 200 19755
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:49:56 +0800] "GET /Vortex/assets/vendors/Flot/jquery.flot.time.js HTTP/1.1" 200 12200
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:49:56 +0800] "GET /Vortex/assets/vendors/bootstrap/dist/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:49:56 +0800] "GET /Vortex/assets/vendors/flot.orderbars/js/jquery.flot.orderBars.js HTTP/1.1" 200 7119
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:49:56 +0800] "GET /Vortex/assets/vendors/Flot/jquery.flot.resize.js HTTP/1.1" 200 3373
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:49:56 +0800] "GET /Vortex/assets/vendors/Flot/jquery.flot.stack.js HTTP/1.1" 200 7278
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:49:56 +0800] "GET /Vortex/assets/vendors/DateJS/build/date.js HTTP/1.1" 200 133292
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:49:56 +0800] "GET /Vortex/assets/vendors/jqvmap/dist/maps/jquery.vmap.world.js HTTP/1.1" 200 60601
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:49:56 +0800] "GET /Vortex/assets/vendors/flot.curvedlines/curvedLines.js HTTP/1.1" 200 16821
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:49:56 +0800] "GET /Vortex/assets/vendors/jqvmap/examples/js/jquery.vmap.sampledata.js HTTP/1.1" 200 2386
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:49:56 +0800] "GET /Vortex/assets/vendors/flot-spline/js/jquery.flot.spline.min.js HTTP/1.1" 200 1756
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:49:56 +0800] "GET /Vortex/assets/vendors/bootstrap-daterangepicker/daterangepicker.js HTTP/1.1" 200 71340
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:49:56 +0800] "GET /Vortex/assets/build/js/custom.min.js HTTP/1.1" 200 72445
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:49:56 +0800] "GET /Vortex/assets/vendors/jqvmap/dist/jquery.vmap.js HTTP/1.1" 200 35349
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:49:56 +0800] "GET /Vortex/assets/vendors/moment/min/moment.min.js HTTP/1.1" 200 46651
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:49:58 +0800] "GET /Vortex/view/controlpanel/userCharts.jsp HTTP/1.1" 200 13860
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:49:58 +0800] "GET /Vortex/assets/build/js/customchart1.js HTTP/1.1" 200 116444
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:49:58 +0800] "GET /Vortex/assets/build/js/chart1Num.js HTTP/1.1" 200 2619
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:49:59 +0800] "POST /Vortex/DeveloperTable HTTP/1.1" 200 532
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:49:59 +0800] "GET /Vortex/GameTable HTTP/1.1" 200 2723
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:49:59 +0800] "POST /Vortex/GameTable HTTP/1.1" 200 2723
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:49:59 +0800] "GET /Vortex/UserTable HTTP/1.1" 200 352145
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:49:59 +0800] "POST /Vortex/GameMediaTable HTTP/1.1" 200 926443
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:49:59 +0800] "POST /Vortex/UserTable HTTP/1.1" 200 352145
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:49:59 +0800] "GET /Vortex/UserTable HTTP/1.1" 200 352145
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:49:59 +0800] "GET /Vortex/UserTable HTTP/1.1" 200 352145
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:50:08 +0800] "POST /Vortex/GameTable HTTP/1.1" 200 2723
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:50:08 +0800] "POST /Vortex/DeveloperTable HTTP/1.1" 200 532
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:50:08 +0800] "POST /Vortex/UserTable HTTP/1.1" 200 352145
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:50:08 +0800] "POST /Vortex/GameMediaTable HTTP/1.1" 200 926443
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:50:18 +0800] "POST /Vortex/DeveloperTable HTTP/1.1" 200 532
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:50:18 +0800] "POST /Vortex/GameTable HTTP/1.1" 200 2723
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:50:18 +0800] "POST /Vortex/UserTable HTTP/1.1" 200 352145
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:50:18 +0800] "POST /Vortex/GameMediaTable HTTP/1.1" 200 926443
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:50:22 +0800] "GET /Vortex/view/controlpanel/purchaseTables.jsp HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:50:28 +0800] "GET /Vortex/view/controlpanel/gameTables.jsp HTTP/1.1" 200 12533
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:50:28 +0800] "GET /Vortex/assets/vendors/datatables.net/js/jquery.dataTables.min.js HTTP/1.1" 200 82804
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:50:28 +0800] "GET /Vortex/assets/vendors/datatables.net-responsive-bs/css/responsive.bootstrap.min.css HTTP/1.1" 200 3922
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:50:28 +0800] "GET /Vortex/assets/vendors/datatables.net-bs/css/dataTables.bootstrap.min.css HTTP/1.1" 200 4217
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:50:28 +0800] "GET /Vortex/assets/vendors/datatables.net-buttons-bs/css/buttons.bootstrap.min.css HTTP/1.1" 200 1736
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:50:28 +0800] "GET /Vortex/assets/vendors/datatables.net-fixedheader-bs/css/fixedHeader.bootstrap.min.css HTTP/1.1" 200 329
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:50:28 +0800] "GET /Vortex/assets/vendors/datatables.net-scroller-bs/css/scroller.bootstrap.min.css HTTP/1.1" 200 415
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:50:28 +0800] "GET /Vortex/assets/vendors/datatables.net-bs/js/dataTables.bootstrap.min.js HTTP/1.1" 200 1968
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:50:28 +0800] "GET /Vortex/assets/vendors/datatables.net-buttons-bs/js/buttons.bootstrap.min.js HTTP/1.1" 200 945
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:50:28 +0800] "GET /Vortex/assets/vendors/datatables.net-buttons/js/dataTables.buttons.min.js HTTP/1.1" 200 15696
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:50:28 +0800] "GET /Vortex/assets/vendors/datatables.net-buttons/js/buttons.print.min.js HTTP/1.1" 200 1698
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:50:28 +0800] "GET /Vortex/assets/vendors/datatables.net-fixedheader/js/dataTables.fixedHeader.min.js HTTP/1.1" 200 6669
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:50:28 +0800] "GET /Vortex/assets/vendors/datatables.net-buttons/js/buttons.flash.min.js HTTP/1.1" 200 21985
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:50:28 +0800] "GET /Vortex/assets/vendors/datatables.net-buttons/js/buttons.html5.min.js HTTP/1.1" 200 20489
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:50:28 +0800] "GET /Vortex/assets/vendors/datatables.net-keytable/js/dataTables.keyTable.min.js HTTP/1.1" 200 7112
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:50:28 +0800] "GET /Vortex/assets/vendors/datatables.net-responsive-bs/js/responsive.bootstrap.js HTTP/1.1" 200 1973
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:50:28 +0800] "GET /Vortex/assets/vendors/pdfmake/build/pdfmake.min.js HTTP/1.1" 200 426291
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:50:28 +0800] "GET /Vortex/assets/vendors/pdfmake/build/vfs_fonts.js HTTP/1.1" 200 567638
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:50:28 +0800] "GET /Vortex/assets/vendors/jszip/dist/jszip.min.js HTTP/1.1" 200 80038
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:50:28 +0800] "GET /Vortex/assets/vendors/datatables.net-responsive/js/dataTables.responsive.min.js HTTP/1.1" 200 11082
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:50:28 +0800] "GET /Vortex/assets/vendors/datatables.net-scroller/js/dataTables.scroller.min.js HTTP/1.1" 200 11400
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:50:28 +0800] "GET /Vortex/assets/build/js/gameTables.js HTTP/1.1" 200 3906
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:50:28 +0800] "POST /Vortex/DeveloperTable HTTP/1.1" 200 532
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:50:28 +0800] "POST /Vortex/GameTable HTTP/1.1" 200 2723
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:50:28 +0800] "POST /Vortex/GameMediaTable HTTP/1.1" 200 926443
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:50:30 +0800] "GET /Vortex/view/controlpanel/userTables.jsp HTTP/1.1" 200 10247
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:50:30 +0800] "GET /Vortex/assets/build/js/userTables.js HTTP/1.1" 200 1248
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:50:30 +0800] "POST /Vortex/UserTable HTTP/1.1" 200 352145
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:50:40 +0800] "GET /Vortex/view/controlpanel/userEdit.jsp HTTP/1.1" 200 10892
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:50:41 +0800] "GET /Vortex/assets/build/js/dataTables.altEditor.free.js HTTP/1.1" 200 52695
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:50:41 +0800] "GET /Vortex/assets/build/js/userEdit.js HTTP/1.1" 200 3793
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:50:41 +0800] "GET /Vortex/UserTable?_=1673171441430 HTTP/1.1" 200 352145
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:50:46 +0800] "GET /Vortex/view/controlpanel/gameTables.jsp HTTP/1.1" 200 12533
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:50:46 +0800] "POST /Vortex/GameTable HTTP/1.1" 200 2723
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:50:46 +0800] "POST /Vortex/DeveloperTable HTTP/1.1" 200 532
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:50:46 +0800] "POST /Vortex/GameMediaTable HTTP/1.1" 200 926443
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:50:47 +0800] "GET /Vortex/view/controlpanel/gameEdit.jsp HTTP/1.1" 200 11190
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:50:47 +0800] "GET /Vortex/assets/build/js/gameEdit.js HTTP/1.1" 200 10531
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:50:47 +0800] "GET /Vortex/DeveloperTable HTTP/1.1" 200 532
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:50:47 +0800] "GET /Vortex/GameTable?_=1673171447098 HTTP/1.1" 200 2723
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:50:47 +0800] "GET /Vortex/DeveloperTable?_=1673171447099 HTTP/1.1" 200 532
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:50:47 +0800] "GET /Vortex/GameTable HTTP/1.1" 200 2723
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:50:47 +0800] "GET /Vortex/GameMediaTable?_=1673171447100 HTTP/1.1" 200 926443
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:52:38 +0800] "GET /Vortex/view/controlpanel/userTables.jsp HTTP/1.1" 200 10247
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:52:38 +0800] "POST /Vortex/UserTable HTTP/1.1" 200 352145
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:59:45 +0800] "GET /Vortex/view/controlpanel/userEdit.jsp HTTP/1.1" 200 10892
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:59:45 +0800] "GET /Vortex/UserTable?_=1673171985178 HTTP/1.1" 200 352145
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:59:46 +0800] "GET /Vortex/view/controlpanel/userTables.jsp HTTP/1.1" 200 10247
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:59:46 +0800] "POST /Vortex/UserTable HTTP/1.1" 200 352145
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:59:49 +0800] "GET /Vortex/view/controlpanel/gameTables.jsp HTTP/1.1" 200 12533
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:59:49 +0800] "POST /Vortex/GameTable HTTP/1.1" 200 2723
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:59:49 +0800] "POST /Vortex/DeveloperTable HTTP/1.1" 200 532
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:59:49 +0800] "POST /Vortex/GameMediaTable HTTP/1.1" 200 926443
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:59:59 +0800] "GET /Vortex/view/controlpanel/purchaseTables.jsp HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [08/Jan/2023:18:00:02 +0800] "GET /Vortex/view/controlpanel/userCharts.jsp HTTP/1.1" 200 13860
0:0:0:0:0:0:0:1 - - [08/Jan/2023:18:00:02 +0800] "GET /Vortex/GameTable HTTP/1.1" 200 2723
0:0:0:0:0:0:0:1 - - [08/Jan/2023:18:00:02 +0800] "POST /Vortex/GameTable HTTP/1.1" 200 2723
0:0:0:0:0:0:0:1 - - [08/Jan/2023:18:00:02 +0800] "GET /Vortex/UserTable HTTP/1.1" 200 352145
0:0:0:0:0:0:0:1 - - [08/Jan/2023:18:00:02 +0800] "POST /Vortex/DeveloperTable HTTP/1.1" 200 532
0:0:0:0:0:0:0:1 - - [08/Jan/2023:18:00:02 +0800] "POST /Vortex/UserTable HTTP/1.1" 200 352145
0:0:0:0:0:0:0:1 - - [08/Jan/2023:18:00:02 +0800] "POST /Vortex/GameMediaTable HTTP/1.1" 200 926443
0:0:0:0:0:0:0:1 - - [08/Jan/2023:18:00:02 +0800] "GET /Vortex/UserTable HTTP/1.1" 200 352145
0:0:0:0:0:0:0:1 - - [08/Jan/2023:18:00:02 +0800] "GET /Vortex/UserTable HTTP/1.1" 200 352145
0:0:0:0:0:0:0:1 - - [08/Jan/2023:18:00:12 +0800] "POST /Vortex/GameTable HTTP/1.1" 200 2723
0:0:0:0:0:0:0:1 - - [08/Jan/2023:18:00:12 +0800] "POST /Vortex/DeveloperTable HTTP/1.1" 200 532
0:0:0:0:0:0:0:1 - - [08/Jan/2023:18:00:12 +0800] "POST /Vortex/UserTable HTTP/1.1" 200 352145
0:0:0:0:0:0:0:1 - - [08/Jan/2023:18:00:12 +0800] "POST /Vortex/GameMediaTable HTTP/1.1" 200 926443
0:0:0:0:0:0:0:1 - - [08/Jan/2023:18:00:15 +0800] "GET /Vortex/view/controlpanel/gameCharts.jsp HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [08/Jan/2023:18:00:18 +0800] "GET /Vortex/view/controlpanel/userTables.jsp HTTP/1.1" 200 10247
0:0:0:0:0:0:0:1 - - [08/Jan/2023:18:00:18 +0800] "POST /Vortex/UserTable HTTP/1.1" 200 352145
0:0:0:0:0:0:0:1 - - [08/Jan/2023:18:14:20 +0800] "GET /Vortex/assets/vendors/pdfmake/build/pdfmake.min.js.map HTTP/1.1" 200 2258934
0:0:0:0:0:0:0:1 - - [08/Jan/2023:18:14:20 +0800] "GET /Vortex/assets/vendors/bootstrap/dist/css/bootstrap.min.css.map HTTP/1.1" 200 542194
